Title,Company,Salary_Min,Salary_Max,Region,Skills_Req,Link,Salary_Text
Senior Data Scientist (ЦУНДО),СБЕР,300000,350000,"Москва,","Ищем Senior Data Scientist в команду Центра управления наличным денежным обращением (ЦУНДО) для ведения направления по созданию комплексных моделей, AI-агентов и проведению статистического анализа данных для принятия оптимальных операционных и стратегических решений по области задач, связанных с наличным денежным обращением. Обязанности реализация, контроль и поддержка полного цикла инициатив по процессам наличного денежного обращения с DS/ML/GenAI составляющей построение прогнозных и оптимизаци",https://www.rabota.ru/vacancy/54281041/,300 000 — 350 000 руб.
Senior/Lead Data Scientist LLM агенты (Финансы),СБЕР,0,0,"Москва,","Мы ищем целеустремленного и амбициозного Middle Data Scientist, который готов развиваться в области построения AI-агентов, LLM-приложений, ML-моделей и Финансов. Мы отвечаем за задачи по AI-трансформации, связанные с Блоком Финансы. Задачи покрывают различные бизнес-процессы: ценообразование на портфельном и индивидуальном уровне, установление единых трансфертных ставок банка, бизнес-планирование и др. Основная задача - создание и развитие AI-агентов и сервисов на базе LLM, направленных на автом",https://www.rabota.ru/vacancy/54279015/,по договоренности
Middle+ Data Scientist (портфельные модели),СБЕР,0,0,"Москва,","Мы в поиске увлеченного своим делом и амбициозного специалиста по Data Science, который хочет прокачивать свои навыки в AI, ML и финансах. Мы отвечаем за задачи по AI-трансформации, связанные с Блоком Финансы, нашим основным заказчиком является Казначейство Сбера. Нашей задачей является внедрение AI и ML в таких процессах, как продуктовое ценообразование на портфельном и индивидуальном уровне, установление единых трансфертных ставок, бизнес-планирование, с целью улучшения финансовых показателей ",https://www.rabota.ru/vacancy/54278993/,по договоренности
Senior Data Engineer / Data Analyst,СБЕР,0,0,"Москва,","Мы — команда из 9 человек (DE, DA, DS), занимаемся полным циклом разработки, внедрения и оценки эффекта AI-моделей для сети отделений Сбера. Ключевые направления нашей работы — разработка GenAI решений для сокращения рисков при обслуживании клиентов в отделениях. Ищем сильного и самостоятельного Data Engineer / Data Analyst. Идеальный кандидат умеет брать ответственность за данные: от первичного анализа до создания промышленных витрин, а также готов выступать инженерным мостом между Data Science",https://www.rabota.ru/vacancy/54268925/,по договоренности
Data Engineer,СБЕР,243700,0,"Москва,","ИТ B2C — самая крупная экосистема в Сбере. Нас более 8000 человек в 18 городах России. Мы занимаемся разработкой и развитием розничных решений, помогая сделать сервисы Банка доступнее, безопаснее и удобнее. Мы, команда офиса CDO B2C, строим платформу данных, которая обеспечивает быстрый, надежный и качественный обмен информацией между Сбером и компаниями-партнерами. Это основа для персонализированных предложений умных продуктов и эффективных бизнес-решений. Наша команда - Команда развития Платфо",https://www.rabota.ru/vacancy/54281379/,от 243 700 руб.
Data Engineer,СБЕР,240000,0,"Москва,","Прикладная аналитическая платформа Блока Риски - это решение, позволяющее создавать аналитические витрины на Облаке Данных по различным направлениям бизнеса таких как: расчет оптимальных стратегий взыскания расчет предложений по реструктуризации расчет компонентов кредитного риска PD, LGD, EAD ускорение расчета RWA процесс калибровки промышленных моделей аналитика по портфелю, взысканию и фроду У нас более 120 витрин, 2000+ потоков загрузки данных, 1200 нод, 40 000 ядер и 25+ петабайт данных. Об",https://www.rabota.ru/vacancy/54280228/,от 240 000 руб.
Data-инженер,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,250000,280000,"Москва,","MS Office, MS Office  Excel, MS Office Word, работа с документами, Python, Apache Spark, Опыт работы с Apache Airflow, Опыт разработки ETL/ELT-пайплайнов, Apache Iceberg",https://www.rabota.ru/vacancy/54268078/,250 000 — 280 000 руб.
Бизнес-аналитик,СберСтрахование,0,0,"Москва,","Для запуска продукта ""Реферальная программа с элементами геймификации"" требуется аналитик с опытом проведения бизнес и системного анализа (T-shape). Обязанности Разработка аналитических материалов для процессов реализации реферальной программы с элементами геймификации для клиентов на различных платформах: WEB, мобильное приложение; Сопровождение и документирование бизнес требований для роцессов реализации реферальной программы с элементами геймификации для клиентов вна различных платформах: WEB",https://www.rabota.ru/vacancy/54274962/,по договоренности
Актуарный аналитик (МСФО 17),"АО ""НПФ Сбербанка""",0,0,"Москва,","НПФ Сбербанка расширяет актуарную функцию и ищет аналитика-актуария для работы с финансовыми моделями и отчетностью по МСФО 17. Роль предполагает участие в ключевых процессах: от расчёта обязательств и анализа результатов до автоматизации и построения прогнозных моделей. Обязанности Разработка и сопровождение моделей денежных потоков по пенсионным продуктам и обязательствам фонда; Расчёт и анализ актуарных метрик (резервы, обязательства, чувствительность); Участие в подготовке отчетности по МСФО",https://www.rabota.ru/vacancy/54271347/,по договоренности
Системный аналитик (AI),СФН,0,0,"Москва,","Мы ищем системного аналитика с опытом работы в сфере искусственного интеллекта (AI) для активного участия в разработке и внедрении инновационных решений на базе AI, направленных на повышение эффективности наших бизнес-процессов. Обязанности Работа над реализацией масштабируемых решений с использованием технологий искусственного интеллекта (ML, GenAI, LLMs, RAG, AI Agent и Multi AI Agents); Изучение реальных проблем бизнеса и превращение их в эффективные AI-решения; Активное участие в роли систем",https://www.rabota.ru/vacancy/54268068/,по договоренности
